,company,lot_size,last_price,cost_per_lot
146,Merino Industries Limited Unlisted Shares,10 Shares, ₹ 3350, ₹ 33500
147,Metropolitan Stock Exchange (MSEI) Unlisted Shares,20000 Shares, ₹ 1.2091, ₹ 24182
148,Midland Microfin Limited Unlisted Shares,-,-,-
149,Milton Cycle Industries Limited Unlisted Shares,100 Shares, ₹ 195, ₹ 19500
150,Minosha India (Ricoh India) Limited Unlisted Shares,-,-,-
151,Mitsubishi Heavy Industries India Precision Tools Ltd. Unlisted Shares,-,-,-
152,Mobikwik Unlisted Shares,25 Shares, ₹ 375, ₹ 9375
153,Mobisy Technologies Unlisted Shares,-,-,-
154,Modern Insulator Limited Unlisted Shares,-,-,-
155,Mohan Meakin Limited Unlisted Shares,50 Shares, ₹ 1725, ₹ 86250
156,Mohindra Fasteners Limited Unlisted Shares,100 Shares, ₹ 240, ₹ 24000
157,Motilal Oswal Home Finance Limited Unlisted Shares,1000 Shares, ₹ 11.5025, ₹ 11502.5
158,Naraingarh Sugar Mills Limited Unlisted Shares,-,-,-
159,Nayara Energy (Formerly Essar Oil) Limited Unlisted Shares,100 Shares, ₹ 285, ₹ 28500
160,Nazara Technologies Unlisted Shares,-,-,-
161,NCL Buildtek Limited (Previously NCL Alltek & Seccolor Limited) Unlisted Shares,100 Shares, ₹ 245, ₹ 24500
162,NCL Holdings Unlisted Shares,250 Shares, ₹ 75, ₹ 18750
163,Northern Arc Capital Unlisted Shares Price,-,-,-
164,NSE India Limited Unlisted Shares,100 Shares, ₹ 3601, ₹ 360100
165,Nuchem Limited Unlisted Shares,-,-,-
166,ORBIS FINANCIAL CORPORATION LIMITED,50 Shares, ₹ Best in Industry,-
167,Otis Elevator (India) Limited Unlisted Shares,10 Shares, ₹ 4500, ₹ 45000
168,Oyo Unlisted Shares,500 Shares, ₹ 82, ₹ 41000
169,Parry Agro Industries Limited Unlisted Shares,25 Shares, ₹ 1740, ₹ 43500
170,Paymate India Unlisted Shares Price,-,-,-
171,Paytm One 97 Communication Unlisted Shares,10 Shares, ₹ 2700, ₹ 27000
172,PB Fintech Limited Unlisted Shares,-,-,-
